so,m73,(ə-)ˈlʔuːd-ən,ear,,(ə-)ˈlʔuːd-ən,,"pinnow1959versuch[p. 97, item 1319, set V147]",,Pinnow comparative set V147. Linked to Rau m73 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p97.i1319.sV147,,,,
so,,iˈɡun,"to beckon, to make gestures",,iˈɡun,,"pinnow1959versuch[p. 203, item 71, set K68]",,Pinnow comparative set K68.,pinnow1959versuch:C:c3.p203.i71.sK068:v3,pinnow1959versuch:C:c3.p203.i71.sK068,,,
mu,,iːl,long stiff feathers in the wings and tail,,iːl,,"pinnow1959versuch[p. 85, item 1249-2, set V87]",,Pinnow comparative set V87.,pinnow1959versuch:C:c4.p85.i1249-2.sV087,,,,
mu,,iːm,liver,,iːm,,"pinnow1959versuch[p. 85, item 1250-2, set V88]",,Pinnow comparative set V88.,pinnow1959versuch:C:c4.p85.i1250-2.sV088,,,,
so,,iːm-ən (C-F),fowl,,iːm-ən (C-F),,"pinnow1959versuch[p. 155, item 1530-1, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c3.p155.i1530-1.sV314,,,,
re,,iːoŋ,mother,,iːoŋ,,"pinnow1959versuch[p. 223, item 240, set K204]",,Pinnow comparative set K204.,pinnow1959versuch:C:c10.p223.i240.sK204,,,,
gu,,iːoŋ,mother,,iːoŋ,,"pinnow1959versuch[p. 223, item 240, set K204]",,Pinnow comparative set K204.,pinnow1959versuch:C:c8.p223.i240.sK204,,,,
gu,,ijoːŋ,mother,,ijoːŋ,,"pinnow1959versuch[p. 223, item 240, set K204]",,Pinnow comparative set K204.,pinnow1959versuch:C:c8.p223.i240.sK204:v2,pinnow1959versuch:C:c8.p223.i240.sK204,,,
mu,,jam (eam),"to cry, to weep",,jam (eam),,"pinnow1959versuch[p. 74, item 1204, set V42]",,Pinnow comparative set V42.,pinnow1959versuch:C:c4.p74.i1204.sV042,,,,
ho,,jam,to weep,,jam,,"pinnow1959versuch[p. 74, item 1204, set V42]",,Pinnow comparative set V42.,pinnow1959versuch:C:c6.p74.i1204.sV042,,,,
ko,,jam,to weep,,jam,,"pinnow1959versuch[p. 74, item 1204, set V42]",,Pinnow comparative set V42.,pinnow1959versuch:C:c5.p74.i1204.sV042,,,,
so,m52,jer,"to run, to go away",,jer,,"pinnow1959versuch[p. 250, item 385, set K294]",,Pinnow comparative set K294. Linked to Rau m52 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p250.i385.sK294,,,,
so,m52,jɪr,"to run, to go away",,jɪr,,"pinnow1959versuch[p. 250, item 385, set K294]",,Pinnow comparative set K294. Linked to Rau m52 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p250.i385.sK294:v2,pinnow1959versuch:C:c3.p250.i385.sK294,,,
so,m52,jiːr,"to run, to go away",,jiːr,,"pinnow1959versuch[p. 250, item 385, set K294]",,Pinnow comparative set K294. Linked to Rau m52 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p250.i385.sK294:v3,pinnow1959versuch:C:c3.p250.i385.sK294,,,
so,m52,er,"to run, to go away",,er,,"pinnow1959versuch[p. 250, item 385, set K294]",,Pinnow comparative set K294. Linked to Rau m52 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p250.i385.sK294:v4,pinnow1959versuch:C:c3.p250.i385.sK294,,,
so,m52,ɪr,"to run, to go away",,ɪr,,"pinnow1959versuch[p. 250, item 385, set K294]",,Pinnow comparative set K294. Linked to Rau m52 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p250.i385.sK294:v5,pinnow1959versuch:C:c3.p250.i385.sK294,,,
so,m52,iːr,"to run, to go away",,iːr,,"pinnow1959versuch[p. 250, item 385, set K294]",,Pinnow comparative set K294. Linked to Rau m52 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p250.i385.sK294:v6,pinnow1959versuch:C:c3.p250.i385.sK294,,,
gu,,jijjɑ,grandmother,,jijjɑ,,"pinnow1959versuch[p. 251, item 388, set K297]",,Pinnow comparative set K297.,pinnow1959versuch:C:c8.p251.i388.sK297,,,,
gu,m90,jiːdu,drink,,jiːdu,,"pinnow1959versuch[p. 96, item 1314, set V142]",,Pinnow comparative set V142. Linked to Rau m90 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p96.i1314.sV142,,,,
ju,,jo,to see,,jo,,"pinnow1959versuch[p. 179, item 1637, set V395]",,Pinnow comparative set V395.,pinnow1959versuch:C:c11.p179.i1637.sV395,,,,
kh,,jo,to see,,jo,,"pinnow1959versuch[p. 179, item 1637-3, set V395]",,Pinnow comparative set V395.,pinnow1959versuch:C:c1.p179.i1637-3.sV395,,,,
kh,,joʔ,to see,,joʔ,,"pinnow1959versuch[p. 179, item 1637-3, set V395]",,Pinnow comparative set V395.,pinnow1959versuch:C:c1.p179.i1637-3.sV395:v2,pinnow1959versuch:C:c1.p179.i1637-3.sV395,,,
kh,,jukhɔʔ,he opened,,jukhɔʔ,,"pinnow1959versuch[p. 165, item 1582-1, set V352]",,Pinnow comparative set V352.,pinnow1959versuch:C:c1.p165.i1582-1.sV352,,,,
kh,,jurˈbɔʔ,"to shake (hand, head)",,jurˈbɔʔ,,"pinnow1959versuch[p. 95, item 1310-1, set V138]",,Pinnow comparative set V138.,pinnow1959versuch:C:c1.p95.i1310-1.sV138,,,,
kh,m11,jurˈbɔʔ,to shake one's head,,jurˈbɔʔ,,"pinnow1959versuch[p. 112, item 1382-1, set V206]",,Pinnow comparative set V206. Linked to Rau m11 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p112.i1382-1.sV206,,,,
kh,,juʔ,to open,,juʔ,,"pinnow1959versuch[p. 165, item 1582-2, set V352]",,Pinnow comparative set V352.,pinnow1959versuch:C:c1.p165.i1582-2.sV352,,,,
kh,,ˈijuʔ,to open,,ˈijuʔ,,"pinnow1959versuch[p. 165, item 1582-2, set V352]",,Pinnow comparative set V352.,pinnow1959versuch:C:c1.p165.i1582-2.sV352:v2,pinnow1959versuch:C:c1.p165.i1582-2.sV352,,,
kh,,juʔjuʔ,open,,juʔjuʔ,,"pinnow1959versuch[p. 165, item 1582, set V352]",,Pinnow comparative set V352.,pinnow1959versuch:C:c1.p165.i1582.sV352,,,,
so,,juː,to shake,,juː,,"pinnow1959versuch[p. 95, item 1310, set V138]",,Pinnow comparative set V138.,pinnow1959versuch:C:c3.p95.i1310.sV138,,,,
so,,ju-ˈjuː,to shake,,ju-ˈjuː,,"pinnow1959versuch[p. 95, item 1310, set V138]",,Pinnow comparative set V138.,pinnow1959versuch:C:c3.p95.i1310.sV138:v2,pinnow1959versuch:C:c3.p95.i1310.sV138,,,
kh,m52,jɑr,"to flee, run away",,jɑr,,"pinnow1959versuch[p. 250, item 385, set K294]",,Pinnow comparative set K294. Linked to Rau m52 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p250.i385.sK294,,,,
so,,jɑːŋ-ən,mother,,jɑːŋ-ən,,"pinnow1959versuch[p. 223, item 240, set K204]",,Pinnow comparative set K204.,pinnow1959versuch:C:c3.p223.i240.sK204,,,,
so,,iɑːŋ-ən,mother,,iɑːŋ-ən,,"pinnow1959versuch[p. 223, item 240, set K204]",,Pinnow comparative set K204.,pinnow1959versuch:C:c3.p223.i240.sK204:v2,pinnow1959versuch:C:c3.p223.i240.sK204,,,
so,,ijɑːŋ-ən,mother,,ijɑːŋ-ən,,"pinnow1959versuch[p. 223, item 240, set K204]",,Pinnow comparative set K204.,pinnow1959versuch:C:c3.p223.i240.sK204:v3,pinnow1959versuch:C:c3.p223.i240.sK204,,,
so,,joːŋ-ən,mother,,joːŋ-ən,,"pinnow1959versuch[p. 223, item 240, set K204]",,Pinnow comparative set K204.,pinnow1959versuch:C:c3.p223.i240.sK204:v4,pinnow1959versuch:C:c3.p223.i240.sK204,,,
so,,ioːŋ-ən,mother,,ioːŋ-ən,,"pinnow1959versuch[p. 223, item 240, set K204]",,Pinnow comparative set K204.,pinnow1959versuch:C:c3.p223.i240.sK204:v5,pinnow1959versuch:C:c3.p223.i240.sK204,,,
kh,,jɔ,to see,,jɔ,,"pinnow1959versuch[p. 179, item 1637, set V395]",,Pinnow comparative set V395.,pinnow1959versuch:C:c1.p179.i1637.sV395,,,,
kh,,jɔʔ,to see,,jɔʔ,,"pinnow1959versuch[p. 179, item 1637-2, set V395]",,Pinnow comparative set V395.,pinnow1959versuch:C:c1.p179.i1637-2.sV395,,,,
so,,jʊ-ˈjʊː-n,grandmother,,jʊ-ˈjʊː-n,,"pinnow1959versuch[p. 251, item 388, set K297]",,Pinnow comparative set K297.,pinnow1959versuch:C:c3.p251.i388.sK297,,,,
kh,,j̃uŋ,to stretch out leg,,j̃uŋ,,"pinnow1959versuch[p. 167, item 1596, set V361]",,Pinnow comparative set V361.,pinnow1959versuch:C:c1.p167.i1596.sV361,,,,
kh,,j̃ɔkhɔʔ,ate (pret.),,j̃ɔkhɔʔ,,"pinnow1959versuch[p. 254, item 409-1, set K312]",,Pinnow comparative set K312.,pinnow1959versuch:C:c1.p254.i409-1.sK312,,,,
kh,,j̃ɔm,"to bask, warm oneself",,j̃ɔm,,"pinnow1959versuch[p. 176, item 1627, set V388]",,Pinnow comparative set V388.,pinnow1959versuch:C:c1.p176.i1627.sV388,,,,
kh,,j̃ɔʔ,to eat,,j̃ɔʔ,,"pinnow1959versuch[p. 254, item 409, set K312]",,Pinnow comparative set K312.,pinnow1959versuch:C:c1.p254.i409.sK312,,,,
kh,,j̃ɔˈlɔŋ,"to be dark, grow dark",,j̃ɔˈlɔŋ,,"pinnow1959versuch[p. 176, item 1631-1, set V390]",,Pinnow comparative set V390.,pinnow1959versuch:C:c1.p176.i1631-1.sV390,,,,
kh,,j̃ɛlɔŋ,"to be dark, grow dark",,j̃ɛlɔŋ,,"pinnow1959versuch[p. 176, item 1631-1, set V390]",,Pinnow comparative set V390.,pinnow1959versuch:C:c1.p176.i1631-1.sV390:v2,pinnow1959versuch:C:c1.p176.i1631-1.sV390,,,
kh,,j̃ẽri,body,,j̃ẽri,,"pinnow1959versuch[p. 87, item 1264, set V98]",,Pinnow comparative set V98.,pinnow1959versuch:C:c1.p87.i1264.sV098,,,,
kh,,ˈj̃ĩri,body,,ˈj̃ĩri,,"pinnow1959versuch[p. 87, item 1264, set V98]",,Pinnow comparative set V98.,pinnow1959versuch:C:c1.p87.i1264.sV098:v2,pinnow1959versuch:C:c1.p87.i1264.sV098,,,
kh,,ɲiri,body,,ɲiri,,"pinnow1959versuch[p. 87, item 1264, set V98]",,Pinnow comparative set V98.,pinnow1959versuch:C:c1.p87.i1264.sV098:v3,pinnow1959versuch:C:c1.p87.i1264.sV098,,,
kh,,ɲẽri,body,,ɲẽri,,"pinnow1959versuch[p. 87, item 1264, set V98]",,Pinnow comparative set V98.,pinnow1959versuch:C:c1.p87.i1264.sV098:v4,pinnow1959versuch:C:c1.p87.i1264.sV098,,,
Birhor,,ka,not,,ka,,"pinnow1959versuch[p. 376, item 1042, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c7.p376.i1042.sK514,,,,
ho,,ka,not,,ka,,"pinnow1959versuch[p. 376, item 1042, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c6.p376.i1042.sK514,,,,
mu,,ka,not,,ka,,"pinnow1959versuch[p. 376, item 1042-2, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c4.p376.i1042-2.sK514,,,,
sa,,kaba kobo,bent,,kaba kobo,,"pinnow1959versuch[p. 340, item 836-1, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c2.p340.i836-1.sK483,,,,
mu,,kaba-kɔbɔ,an accidental crookedness of the back,,kaba-kɔbɔ,,"pinnow1959versuch[p. 340, item 836-2, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c4.p340.i836-2.sK483,,,,
mu,,kabaiˀɟ-kubuiˀɟ,an accidental crookedness of the back,,kabaiˀɟ-kubuiˀɟ,,"pinnow1959versuch[p. 340, item 836-2, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c4.p340.i836-2.sK483:v2,pinnow1959versuch:C:c4.p340.i836-2.sK483,,,
mu,,kabaŋ-kubuŋ,an accidental crookedness of the back,,kabaŋ-kubuŋ,,"pinnow1959versuch[p. 340, item 836-2, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c4.p340.i836-2.sK483:v3,pinnow1959versuch:C:c4.p340.i836-2.sK483,,,
mu,,kabəɽa-kubəɽu,an accidental crookedness of the back,,kabəɽa-kubəɽu,,"pinnow1959versuch[p. 340, item 836-2, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c4.p340.i836-2.sK483:v4,pinnow1959versuch:C:c4.p340.i836-2.sK483,,,
mu,,kiba-kaba,an accidental crookedness of the back,,kiba-kaba,,"pinnow1959versuch[p. 340, item 836-2, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c4.p340.i836-2.sK483:v5,pinnow1959versuch:C:c4.p340.i836-2.sK483,,,
kh,,kabaiˀɟ kubuiˀɟ,an accidental crookedness of the back,,kabaiˀɟ kubuiˀɟ,,"pinnow1959versuch[p. 340, item 836-2, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c1.p340.i836-2.sK483,,,,
sa,,kabaˀɟ kubuˀɟ,stoopingly,,kabaˀɟ kubuˀɟ,,"pinnow1959versuch[p. 340, item 836-2, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c2.p340.i836-2.sK483,,,,
ko,m101,kaku,fish,,kaku,,"pinnow1959versuch[p. 77, item 1226, set V64]",,Pinnow comparative set V64. Linked to Rau m101 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p77.i1226.sV064,,,,
mu,,kalɡa,"long, wavy feathers of the tail",,kalɡa,,"pinnow1959versuch[p. 85, item 1249-3, set V87]",,Pinnow comparative set V87.,pinnow1959versuch:C:c4.p85.i1249-3.sV087,,,,
ko,,kamal-ba,heavy,,kamal-ba,,"pinnow1959versuch[p. 159, item 1554-2, set V332]",,Pinnow comparative set V332.,pinnow1959versuch:C:c5.p159.i1554-2.sV332,,,,
ko,m56,kap,to bite with the incisors,,kap,,"pinnow1959versuch[p. 149, item 1505, set V294]",,Pinnow comparative set V294. Linked to Rau m56 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p149.i1505.sV294,,,,
Birhor,,kapi,a kind of axe,,kapi,,"pinnow1959versuch[p. 74, item 1203, set V41]",,Pinnow comparative set V41.,pinnow1959versuch:C:c7.p74.i1203.sV041,,,,
ho,,kapi,a kind of axe,,kapi,,"pinnow1959versuch[p. 74, item 1203, set V41]",,Pinnow comparative set V41.,pinnow1959versuch:C:c6.p74.i1203.sV041,,,,
Mahali,,kapi,a kind of axe,,kapi,,"pinnow1959versuch[p. 74, item 1203, set V41]",,Pinnow comparative set V41.,pinnow1959versuch:C:c16.p74.i1203.sV041,,,,
mu,,kapi,a kind of axe,,kapi,,"pinnow1959versuch[p. 74, item 1203, set V41]",,Pinnow comparative set V41.,pinnow1959versuch:C:c4.p74.i1203.sV041,,,,
ko,,karup,to cover,,karup,,"pinnow1959versuch[p. 153, item 1524, set V309]",,Pinnow comparative set V309.,pinnow1959versuch:C:c5.p153.i1524.sV309,,,,
ko,m26,kasu,"pain, illness",,kasu,,"pinnow1959versuch[p. 122, item 1432, set V247]",,Pinnow comparative set V247. Linked to Rau m26 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p122.i1432.sV247,,,,
ko,m111,katiŋ,to divide,,katiŋ,,"pinnow1959versuch[p. 149, item 1504, set V293]",,Pinnow comparative set V293. Linked to Rau m111 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p149.i1504.sV293,,,,
ko,,katkom,crab,,katkom,,"pinnow1959versuch[p. 225, item 256, set K214]",,Pinnow comparative set K214.,pinnow1959versuch:C:c5.p225.i256.sK214,,,,
ko,,kekade,crab,,kekade,,"pinnow1959versuch[p. 225, item 256, set K214]",,Pinnow comparative set K214.,pinnow1959versuch:C:c5.p225.i256.sK214:v2,pinnow1959versuch:C:c5.p225.i256.sK214,,,
sa,,kato,a curved knife,,kato,,"pinnow1959versuch[p. 159, item 1558, set V334a]",,Pinnow comparative set V334a.,pinnow1959versuch:C:c2.p159.i1558.sV334A,,,,
ko,,katr,"skin, leather",,katr,,"pinnow1959versuch[p. 170, item 1601, set V366]",,Pinnow comparative set V366.,pinnow1959versuch:C:c5.p170.i1601.sV366,,,,
ko,,kaːʈɽeː,"skin, leather",,kaːʈɽeː,,"pinnow1959versuch[p. 170, item 1601, set V366]",,Pinnow comparative set V366.,pinnow1959versuch:C:c5.p170.i1601.sV366:v2,pinnow1959versuch:C:c5.p170.i1601.sV366,,,
ko,,kataɽe,"skin, leather",,kataɽe,,"pinnow1959versuch[p. 170, item 1601, set V366]",,Pinnow comparative set V366.,pinnow1959versuch:C:c5.p170.i1601.sV366:v3,pinnow1959versuch:C:c5.p170.i1601.sV366,,,
ko,,kateːɽeː,"skin, leather",,kateːɽeː,,"pinnow1959versuch[p. 170, item 1601, set V366]",,Pinnow comparative set V366.,pinnow1959versuch:C:c5.p170.i1601.sV366:v4,pinnow1959versuch:C:c5.p170.i1601.sV366,,,
mu,,katu,a knife,,katu,,"pinnow1959versuch[p. 159, item 1558, set V334a]",,Pinnow comparative set V334a.,pinnow1959versuch:C:c4.p159.i1558.sV334A,,,,
sa,,kawalkawal,"squirming, wriggling, to squirm, wriggle (leeches)",,kawalkawal,,"pinnow1959versuch[p. 390, item 1106-2, set K521]",,Pinnow comparative set K521.,pinnow1959versuch:C:c2.p390.i1106-2.sK521,,,,
sa,,kevelkevel,"squirming, wriggling, to squirm, wriggle (leeches)",,kevelkevel,,"pinnow1959versuch[p. 390, item 1106-2, set K521]",,Pinnow comparative set K521.,pinnow1959versuch:C:c2.p390.i1106-2.sK521:v2,pinnow1959versuch:C:c2.p390.i1106-2.sK521,,,
sa,,keval kivil,"squirming, wriggling, to squirm, wriggle (leeches)",,keval kivil,,"pinnow1959versuch[p. 390, item 1106-2, set K521]",,Pinnow comparative set K521.,pinnow1959versuch:C:c2.p390.i1106-2.sK521:v3,pinnow1959versuch:C:c2.p390.i1106-2.sK521,,,
sa,,kivilkivil,"squirming, wriggling, to squirm, wriggle (leeches)",,kivilkivil,,"pinnow1959versuch[p. 390, item 1106-2, set K521]",,Pinnow comparative set K521.,pinnow1959versuch:C:c2.p390.i1106-2.sK521:v4,pinnow1959versuch:C:c2.p390.i1106-2.sK521,,,
ko,,kaŋkar,mother-in-law,,kaŋkar,,"pinnow1959versuch[p. 74, item 1206, set V44]",,Pinnow comparative set V44.,pinnow1959versuch:C:c5.p74.i1206.sV044,,,,
sa,,kaŋkha,"edge, brim",,kaŋkha,,"pinnow1959versuch[p. 123, item 1478-1, set V276]",,Pinnow comparative set V276.,pinnow1959versuch:C:c2.p123.i1478-1.sV276,,,,
sa,,kaɖa,a buffalo,,kaɖa,,"pinnow1959versuch[p. 290, item 568, set K398]",,Pinnow comparative set K398.,pinnow1959versuch:C:c2.p290.i568.sK398,,,,
mu,,kaɖru,young male buffalo,,kaɖru,,"pinnow1959versuch[p. 290, item 568, set K398]",,Pinnow comparative set K398.,pinnow1959versuch:C:c4.p290.i568.sK398,,,,
mu,,kaɽru,young male buffalo,,kaɽru,,"pinnow1959versuch[p. 290, item 568, set K398]",,Pinnow comparative set K398.,pinnow1959versuch:C:c4.p290.i568.sK398:v2,pinnow1959versuch:C:c4.p290.i568.sK398,,,
ho,,kaɟi,"a word, to say, to tell",,kaɟi,,"pinnow1959versuch[p. 78, item 1227, set V65]",,Pinnow comparative set V65.,pinnow1959versuch:C:c6.p78.i1227.sV065,,,,
mu,,kaɟi,"a word, to say, to tell",,kaɟi,,"pinnow1959versuch[p. 78, item 1227, set V65]",,Pinnow comparative set V65.,pinnow1959versuch:C:c4.p78.i1227.sV065,,,,
mu,,kaɳʈaɽa-daru,"bread-fruit or jack-fruit tree ({Sci.name} Artocarpus integrifolia, Linn.)",,kaɳʈaɽa-daru,,"pinnow1959versuch[p. 307, item 684, set K441]",,Pinnow comparative set K441.,pinnow1959versuch:C:c4.p307.i684.sK441,,,,
sa,,kaɳʈhaɽ,"bread-fruit or jack-fruit tree ({Sci.name} Artocarpus integrifolia, Linn.)",,kaɳʈhaɽ,,"pinnow1959versuch[p. 307, item 684, set K441]",,Pinnow comparative set K441.,pinnow1959versuch:C:c2.p307.i684.sK441,,,,
mu,,kaɽba,the handle grip of a plow,,kaɽba,,"pinnow1959versuch[p. 340, item 836, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c4.p340.i836.sK483,,,,
mu,,kaɽəba,the handle grip of a plow,,kaɽəba,,"pinnow1959versuch[p. 340, item 836, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c4.p340.i836.sK483:v2,pinnow1959versuch:C:c4.p340.i836.sK483,,,
Birhor,,kaʈa,"foot, leg",,kaʈa,,"pinnow1959versuch[p. 72, item 1181, set V19]",,Pinnow comparative set V19.,pinnow1959versuch:C:c7.p72.i1181.sV019,,,,
ho,,kaʈa,"foot, leg",,kaʈa,,"pinnow1959versuch[p. 72, item 1181, set V19]",,Pinnow comparative set V19.,pinnow1959versuch:C:c6.p72.i1181.sV019,,,,
mu,,kaʈa,"foot, leg",,kaʈa,,"pinnow1959versuch[p. 72, item 1181, set V19]",,Pinnow comparative set V19.,pinnow1959versuch:C:c4.p72.i1181.sV019,,,,
sa,,kaʈa,"foot, leg",,kaʈa,,"pinnow1959versuch[p. 72, item 1181, set V19]",,Pinnow comparative set V19.,pinnow1959versuch:C:c2.p72.i1181.sV019,,,,
kh,,kaʈiˀɟ,little,,kaʈiˀɟ,,"pinnow1959versuch[p. 144, item 1498-1, set V288]",,Pinnow comparative set V288.,pinnow1959versuch:C:c1.p144.i1498-1.sV288,,,,
mu,,kaʈiˀɟ,"very small, very little",,kaʈiˀɟ,,"pinnow1959versuch[p. 86, item 1257, set V94]",,Pinnow comparative set V94.,pinnow1959versuch:C:c4.p86.i1257.sV094,,,,
ho,,kaʈkom,crab,,kaʈkom,,"pinnow1959versuch[p. 225, item 256, set K214]",,Pinnow comparative set K214.,pinnow1959versuch:C:c6.p225.i256.sK214,,,,
ho,,kakom,crab,,kakom,,"pinnow1959versuch[p. 225, item 256, set K214]",,Pinnow comparative set K214.,pinnow1959versuch:C:c6.p225.i256.sK214:v2,pinnow1959versuch:C:c6.p225.i256.sK214,,,
sa,,kaʈkɔm,crab,,kaʈkɔm,,"pinnow1959versuch[p. 225, item 256, set K214]",,Pinnow comparative set K214.,pinnow1959versuch:C:c2.p225.i256.sK214,,,,
mu,,kaʈkɔm,crab,,kaʈkɔm,,"pinnow1959versuch[p. 225, item 256, set K214]",,Pinnow comparative set K214.,pinnow1959versuch:C:c4.p225.i256.sK214,,,,
mu,,kaɽkɔm,crab,,kaɽkɔm,,"pinnow1959versuch[p. 225, item 256, set K214]",,Pinnow comparative set K214.,pinnow1959versuch:C:c4.p225.i256.sK214:v2,pinnow1959versuch:C:c4.p225.i256.sK214,,,
kh,,kaˈʈiˀɟ,"some, a little",,kaˈʈiˀɟ,,"pinnow1959versuch[p. 86, item 1257, set V94]",,Pinnow comparative set V94.,pinnow1959versuch:C:c1.p86.i1257.sV094,,,,
ho,,kaːbaː,the handle grip of a plow,,kaːbaː,,"pinnow1959versuch[p. 340, item 836, set K483]",,Pinnow comparative set K483.,pinnow1959versuch:C:c6.p340.i836.sK483,,,,
mu,,keaˀd,the Roseringed Paroquet ({Sci.name} Palaeornis torquatus),,keaˀd,,"pinnow1959versuch[p. 197, item 10, set K10]",,Pinnow comparative set K10.,pinnow1959versuch:C:c4.p197.i10.sK010,,,,
ko,,kende,black,,kende,,"pinnow1959versuch[p. 103, item 1337, set V164]",,Pinnow comparative set V164.,pinnow1959versuch:C:c5.p103.i1337.sV164,,,,
mu,,kepaˀd,placed so as to touch something,,kepaˀd,,"pinnow1959versuch[p. 153, item 1520-3, set V305]",,Pinnow comparative set V305.,pinnow1959versuch:C:c4.p153.i1520-3.sV305,,,,
mu,,kereaˀd,the Roseringed Paroquet ({Sci.name} Palaeornis torquatus),,kereaˀd,,"pinnow1959versuch[p. 197, item 10-2, set K10]",,Pinnow comparative set K10.,pinnow1959versuch:C:c4.p197.i10-2.sK010,,,,
sa,,kereɔˀd,"screamingly (of fowls), to scream",,kereɔˀd,,"pinnow1959versuch[p. 197, item 10, set K10]",,Pinnow comparative set K10.,pinnow1959versuch:C:c2.p197.i10.sK010,,,,
sa,,kewa,"chin, to become worn (plowshare)",,kewa,,"pinnow1959versuch[p. 391, item 1111, set K526]",,Pinnow comparative set K526.,pinnow1959versuch:C:c2.p391.i1111.sK526,,,,
mu,,keɖa,a buffalo,,keɖa,,"pinnow1959versuch[p. 290, item 568-3, set K398]",,Pinnow comparative set K398.,pinnow1959versuch:C:c4.p290.i568-3.sK398,,,,
mu,,keɽa,a buffalo,,keɽa,,"pinnow1959versuch[p. 290, item 568-1, set K398]",,Pinnow comparative set K398.,pinnow1959versuch:C:c4.p290.i568-1.sK398,,,,
ho,,keʈeɟ,"hardness, hard",,keʈeɟ,,"pinnow1959versuch[p. 155, item 1532, set V315a]",,Pinnow comparative set V315a.,pinnow1959versuch:C:c6.p155.i1532.sV315A,,,,
ko,,khamal,heavy,,khamal,,"pinnow1959versuch[p. 159, item 1554, set V332]",,Pinnow comparative set V332.,pinnow1959versuch:C:c5.p159.i1554.sV332,,,,
ju,,khemeːceːlo,woman,,khemeːceːlo,,"pinnow1959versuch[p. 158, item 1550-1, set V330]",,Pinnow comparative set V330.,pinnow1959versuch:C:c11.p158.i1550-1.sV330,,,,
kh,,kheoa,"to row, oar",,kheoa,,"pinnow1959versuch[p. 397, item 1135, set K539]",,Pinnow comparative set K539.,pinnow1959versuch:C:c1.p397.i1135.sK539,,,,
kh,,kheβa,"to row, oar",,kheβa,,"pinnow1959versuch[p. 397, item 1135, set K539]",,Pinnow comparative set K539.,pinnow1959versuch:C:c1.p397.i1135.sK539:v2,pinnow1959versuch:C:c1.p397.i1135.sK539,,,
kh,,khewa,"to row, oar",,khewa,,"pinnow1959versuch[p. 397, item 1135, set K539]",,Pinnow comparative set K539.,pinnow1959versuch:C:c1.p397.i1135.sK539:v3,pinnow1959versuch:C:c1.p397.i1135.sK539,,,
sa,,khil,certain sub-septs have this as part of their designation,,khil,,"pinnow1959versuch[p. 186, item 1651, set V401]",,Pinnow comparative set V401.,pinnow1959versuch:C:c2.p186.i1651.sV401,,,,
